ref,date,time,boat_status,attack_status,ship_name,type,flag,grt,imo_number,latitude,longitude,position,waters,narration,region,success
1,10.01.2019,2200,anchored,boarded,Mito,general cargo,Panama,9815,9587788,05:59.1S,105:56.2E,Ciwandan Anchorage,Indonesia,"During routine rounds, duty crew onboard an anchored ship noticed the lock to the engine store broken and ship's spares missing. Incident reported to local agents. ",South East Asia,actual
2,05.02.2019,2205,anchored,boarded,Maersk Capri,chemical tanker,Singapore,29816,9786140,03:55.4N,098:47.0E ,Belawan Anchorage,Indonesia,"Duty crew on routine rounds onboard an anchored tanker noticed a robber escaping via the hawse pipe and raised the alarm. Crew mustered and on searching the tanker, ship’s properties reported missing. ",South East Asia,actual
3,19.02.2019,1345,anchored,boarded,Peterborough,bulk carrier,Liberia,32672,9483180,03:41.36S ,114:26.46E ,Taboneo Anchorage,Indonesia,"While carrying out routine rounds onboard an anchored ship, duty crew noticed the forecastle store door forced open and ship’s properties missing. Incident reported to Taboneo Port Control. Marine police boarded the ship to investigate and collect evidence. ",South East Asia,actual
4,26.03.2019,1230,anchored,boarded,Nakhal Silver,product tanker,Marshall Islands,29354,9718765,13:44N ,121:02E ,Batangas Anchorage,Philippines,"Duty crew on routine rounds noticed a robber near the forecastle and raised the alarm. Crew mustered and approached the forecastle. Seeing the alerted crew, the robber escaped with stolen ship’s stores. On investigating it was reported that the robber gained access via the anchor chain. Incident reported to Coast Guard. ",South East Asia,actual
5,26.03.2019 ,2030,anchored,boarded,TRF Kaya,container,Liberia,28616,9330549,14:33.3N ,120:54.1E ,Manila South Quarantine Anchorage,Philippines,Robbers boarded an anchored ship unnoticed and escaped with ship’s properties. The theft was noticed by duty watchman during routine rounds. It was reported that the razor wire installed at the hawse pipe was removed. Footprints were found on the deck and the bosun store was broken into. VTMS Manila and local agent informed. Coast Guard personnel boarded the ship for investigation. ,South East Asia,actual
6,26.04.2019 ,2105,berthed,boarded,Jackson Bay,container,Liberia,39912,9322358,06:05.7S ,106:55.2E ,Jakarta Container Terminal,Indonesia,Duty oiler on routine rounds noticed robbers in the engine room and raised the alarm resulting in the robbers escaping empty handed. A search was made throughout the ship. Nothing reported stolen. ,South East Asia,actual
7,11.05.2019 ,1000,anchored,boarded,Princess Paula,bulk carrier,Hong Kong,19885,9300207,01:42.76N ,101:26.62E,"Lubuk Gaung Anchorage, Duamai Port",Indonesia,"Unnoticed thieves boarded the ship, stole engine spare parts and escaped. The theft was noticed by duty crew when they noticed the engine store room padlock broken. ",South East Asia,actual
8,12.05.2019 ,1810,steaming,boarded,Da Yang Bai Li,general cargo,China,7216,9607978,01:00.1N ,104:54.8E ,Around 4nm East of Pulau Mapur,Indonesia,Four robbers armed with long knives boarded the ship underway. They took hostage the duty AB and entered into the Master’s cabin. They tied up the AB and the Master and escaped with their personal cash and effects. ,South East Asia,actual
9,18.05.2019 ,800,steaming,boarded,Barlian T1201,tug,Niue,153,9433432,01:13.00N ,103:34.50E ,"Around 3.4nm SSE of Tanjung Piai, Johor",Malaysia,"Persons from five wooden boats, illegally boarded and stole properties from a crane barge under tow by a tug. The tug Master contacted the Authorities and reported the incident. ",South East Asia,actual
9,18.05.2019 ,800,steaming,boarded,Smit Cyclone,Crane Barge,Singapore,2700,7603588,01:13.00N ,103:34.50E ,"Around 3.4nm SSE of Tanjung Piai, Johor",Malaysia,"Persons from five wooden boats, illegally boarded and stole properties from a crane barge under tow by a tug. The tug Master contacted the Authorities and reported the incident. ",South East Asia,actual
